id,txtName,txtCode,booPrefer,numNote,txtSpelling,numOrdering,numSymForms,numHalfStepsInRow,txtNumIntervalForm,txtAltNames
315,Verdi Enigmatica,VE,1,8,"b2,3,4,b5,b6,b7,7",1259,0,4,1 3 1 1 2 2 1,
316,Flamenco,Flam,1,8,"b2,b3,3,4,5,b6,b7",1498,0,3,1 2 1 1 2 1 2,Spanish Phrygian
317,Espla,Espla,0,8,"b2,b3,3,4,b5,b6,7",1513,0,4,1 2 1 1 1 2 3,
318,Eight Tone Spanish,ETS,0,8,"b2,b3,3,4,b5,b6,b7",1514,0,4,1 2 1 1 1 2 2,
319,Octatonic,Oct,1,8,"b2,b3,3,b5,5,6,b7",1462,2,2,1 2 1 2 1 2 1,"Auxiliary Diminished Blues, Composite, Diminished Inv., Diminished Dominant, Half-Whole Step"
320,Magen Abot,MA,0,8,"b2,b3,3,b5,b6,6,7",1453,0,3,1 2 1 2 2 1 2,
321,Bebop Half-diminished Oct,BHDO,0,8,"b2,b3,4,b5,6,b7,7",1383,0,5,1 2 2 1 3 1 1,
322,Blues v.5,B5,1,8,"b3,3,4,b5,5,b7,7",499,0,5,3 1 1 1 1 3 1,
323,Messiaen Mode Four Inv.,M4i,0,8,"b3,3,4,b5,6,b7,7",487,4,4,3 1 1 1 3 1 1,
324,Taishikicho,Taish,1,9,"2,3,4,b5,5,6,b7,7",759,0,4,2 2 1 1 1 2 1 1,
325,Blues Nonatonic,B9,1,9,"2,b3,3,4,b5,5,6,b7",1014,0,6,2 1 1 1 1 1 2 1,
326,Nine Tone,9T,1,9,"2,b3,3,4,b5,b6,6,7",1005,0,5,2 1 1 1 1 2 1 2,
327,Messiaen Mode Three Inv,Mess3i,0,8,"2,b3,3,b5,5,b6,7",953,0,3,2 1 1 2 1 1 3,
328,Raga Ramdasi Malhar,RRM,1,9,"2,b3,3,b5,b6,6,b7,7",943,0,5,2 1 1 2 2 1 1 1,
329,Raga Pilu,RPil,1,9,"2,b3,4,5,b6,6,b7,7",863,0,6,2 1 2 2 1 1 1 1,
330,Messiaen Mode Three,Mess3,0,9,"b2,2,3,4,5,b6,6,b7",1758,0,4,1 1 2 1 2 1 1 1,
331,Youlan,Youl,1,9,"b2,2,3,4,b5,5,6,b7",1782,0,4,1 1 2 1 1 1 2 1,
332,Genus Chromaticum,GenC,1,9,"b2,b3,3,4,5,b6,6,7",1501,3,3,1 2 1 1 2 1 1 2,
333,Moorish Phrygian,Moor,1,9,"b2,b3,3,4,5,b6,b7,7",1499,0,4,1 2 1 1 2 1 2 1,
334,Blues v6,B6,1,9,"b3,3,4,b5,5,6,b7,7",503,0,5,3 1 1 1 1 2 1 1,
335,Minor Major Mixed,-MMix,1,10,"2,b3,3,4,5,b6,6,b7,7",991,0,6,2 1 1 1 2 1 1 1 1,
336,Minor Pentatonic with Leading,-PentL,0,10,"2,b3,3,4,b5,5,6,b7,7",1015,0,6,2 1 1 1 1 1 2 1 1,
337,Messiaen Mode Seven Inv,MM7i,0,10,"2,b3,3,4,b5,b6,6,b7,7",1007,5,5,2 1 1 1 1 2 1 1 1,
338,Symmetrical Diatonic,SD,1,10,"b2,2,3,4,b5,5,b6,b7,7",1787,5,5,1 1 2 1 1 1 1 2 1,
339,Raga Sindhi Bhairavi,RSB,1,10,"b2,2,b3,3,4,5,b6,6,7",2013,0,7,1 1 1 1 1 2 1 1 2,
340,Messiaen Mode Seven,MM7,0,10,"b2,2,b3,3,b5,5,b6,6,b7",1982,5,5,1 1 1 1 2 1 1 1 1,
341,Chromatic,Chrom,1,12,"b2,2,b3,3,4,b5,5,b6,6,b7,7",2047,1,12,1 1 1 1 1 1 1 1 1 1 1,
343,Gypsy Tetrachord,GT,1,4,"b2,3,4",1216,0,2,1 3 1,"Ahava Raba, Odessa Bulgar, Hijaz, Suzidil, Shahnaz, Shadd Araban, Chromatic Mezotetrachord, Arabian Tetramirror"
344,Minor Tetrachord,-Tet,1,4,"2,b3,4",832,0,2,2 1 2,"Busalik, Nahawand, Phrygian Tetrachord, MInor Tetramirror"
345,Ajam,Ajam,0,4,"2,3,4",704,0,2,2 2 1,"Jahar Kah, Major Tetrachord, Lydian Tetrachord"
346,Hisar,His,1,4,"2,b3,b5",800,0,2,2 1 3,Dim Add Two
347,Kurdi,Kurd,1,4,"b2,b3,4",1344,0,2,1 2 2,Dorian Tetrachord
348,Italian Six,I6,0,3,"3,6",132,0,1,4 5,Raga Bilwadala
349,Gowleeswari,Gow,0,4,"b2,4,b6",1096,0,2,1 4 3,Raga Lavangi
350,Raga Haripriya,RHari,0,4,"2,4,b6",584,0,1,2 3 3,
351,Raga Sumukam,RSum,1,4,"2,b5,7",545,0,2,2 4 5,
353,Bebob Half-diminished,BH,0,7,"b2,b3,4,b5,b6,7",1385,0,3,1 2 2 1 2 3,
354,Bibhas,Bib,0,5,"b2,3,b5,6",1188,0,2,1 3 2 3,
355,Bach Trimirror,BTriM,1,3,"b2,2",1536,0,3,1 1,Chromatic Trimirror
356,Phrygian Trichord,PTC,1,3,"b2,b3",1280,0,2,1 2,
357,Minor Trichord,-TC,1,3,"2,b3",768,0,2,2 1,
358,Bach Tetramirror,BTetM,1,4,"b2,2,b3",1792,0,4,1 1 1,Chromatic Tetramirror
359,Major-Minor Trichord,-MTC,1,3,"b2,3",1152,0,2,1 3,
360,Major-second Tetracluster,M2TetC2,1,4,"b2,2,3",1664,0,3,1 1 2,
361,Alternating Tetramirror,ATetM,1,4,"b2,b3,3",1408,0,2,1 2 1,
362,Major Second Tetracluster,M2TetC1,1,4,"2,b3,3",896,0,3,2 1 1,
363,Chromatic Pentamirror,C5PentM,1,5,"b2,2,b3,3",1920,0,5,1 1 1 1,
364,Incomplete Minor Seventh,-7inc,0,3,"2,4",576,0,1,2 3,
365,Minor Third Tetracluster 1,-3TetC,1,4,"b2,2,4",1600,0,3,1 1 3,
366,Seven Omit Three,7om3,1,3,"5,b7",18,0,1,7 3,Dominant Seventh Incomplete
367,Major Second Pentacluster,M2Pent,1,5,"b2,2,b3,4",1856,0,4,1 1 1 2,
369,Minor Second Major Pentachord,-2M5,1,5,"b2,2,3,4",1728,0,3,1 1 2 1,
371,Chaio,Chaio,0,5,"2,4,b6,b7",586,0,1,2 3 3 2,
372,Chan,Chan,0,5,"b3,b5,b6,b7",298,0,1,3 3 2 2,"Chin, Raga Harikauns"
373,Chromatic Dorian Inverse,CDi,1,8,"2,b3,3,4,5,b7,7",979,0,4,2 1 1 1 2 3 1,
374,Han-Kumoi,HK,0,5,"2,4,5,b6",600,0,2,2 3 2 1,"Japanese Two,Raga Shobhavari, Sutradhari"
375,Hindolita,Hin,0,5,"3,4,6,7",197,0,2,4 1 4 2,"Kaushikdhvani, Raga Bhinna Shadja, Kaushikdhvani"
376,Honchoshi Plagal Form,HPF,0,6,"b2,b3,4,b5,b7",1378,0,2,1 2 2 1 4,
377,Janasammodini,Jan,0,5,"2,3,5,b6",664,0,2,2 2 3 1,Raga Bhupeshwari
378,Raga Jayakauns,RJay,0,5,"b3,4,b5,b7",354,0,2,3 2 1 4,Kumoi Two
379,Kyemyonjo,Kyem,0,5,"b3,4,5,6",340,0,1,3 2 2 2,
380,Locrian Flat 4 Double Flat 7,Locb4bb7,0,7,"b2,b3,3,b5,b6,6",1452,0,2,1 2 1 2 2 1,
381,Maqam Huzzam,MqHuz,0,7,"b2,b3,3,5,b6,b7",1434,0,2,1 2 1 3 1 2,
382,Raga Budhamanohari,RBud,1,5,"2,3,4,5",720,0,2,2 2 1 2,
383,Rajeshwari,Raj,1,5,"b3,4,6,7",325,0,2,3 2 4 2,"Raga Chandrakauns Modern, Marga Hindola"
384,Surya,Sur,0,5,"b3,4,6,b7",326,0,2,3 2 4 1,"Varamu, Raga Chandrakauns Kafi"
385,Raga Chaundrakauns Kiravani,RCK,0,5,"b3,4,b6,7",329,0,2,3 2 3 3,
386,Raga Chitthakarshini,RChi,0,5,"b2,b3,4,b6",1352,0,2,1 2 2 3,
387,Raga Desh,RDesh,0,5,"2,4,5,7",593,0,2,2 3 2 4,
388,Raga Devaranjani,RDev,1,5,"4,5,b6,7",89,0,2,5 2 1 3,Devaranji
389,Raga Dhavalashri,RDS,0,5,"3,b5,5,6",180,0,2,4 2 1 2,
390,Bacovia,Bac,0,5,"3,4,b6,7",201,0,2,4 1 3 3,Raga Girija
391,Raga Guhamanohari,RGuh,0,5,"2,4,6,b7",582,0,2,2 3 4 1,
392,Raga Khamaj Durga,RKD,0,5,"3,4,6,b7",198,0,2,4 1 4 1,
393,Raga Kokil Pancham,RKP,0,5,"b3,4,5,b6",344,0,2,3 2 2 1,
394,Raga Kumarpriya,RKumarP,1,5,"b2,2,b6,7",1545,0,4,1 1 6 3,
395,Raga Kunkvarali,RKunt,0,5,"4,5,6,b7",86,0,2,5 2 2 1,Kuntavarali
